elapsed_s,elapsed_h,model_temperature,sensor_temperature,model_ext_temperature,current_temperature,target_temperature,hvac_action,hvac_mode,preset_mode,on_percent,power_percent,smartpi_a,smartpi_b,smartpi_learn_ok_count_a,smartpi_learn_ok_count_b,smartpi_learn_last_reason,smartpi_governance_regime,smartpi_phase,deadtime_heat_s,model_effective_heater_power_w,model_heating_rate_c_per_s,model_heat_loss_rate_c_per_s,model_net_heat_rate_c_per_s,model_fabric_temperature,model_solar_gain_w,model_internal_gain_w,model_fabric_to_air_flux_w,model_total_heat_loss_w,model_effective_u_value_W_per_C,model_weather_k_multiplier,model_infiltration_loss_w,model_fabric_loss_w,switch_state
3130.0,0.8694444444444445,20.433817677451493,20.434,5.0,20.4,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,"extending: slope not robust (low_amplitude, n=7)",warmup,Hysteresis,30.0,1000.0,0.001,0.00036643505755588613,0.0005335958772478813,17.99,0.0,0.0,-304.7,466.4,30.22,1.0,61.7,404.7,1.0
3190.0,0.8861111111111111,20.47166147903398,20.472,5.0,20.5,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,"extending: slope not robust (low_amplitude, n=7)",warmup,Hysteresis,30.0,1000.0,0.001,0.00037133282919662617,0.0005334469243792067,17.99,0.0,0.0,-309.4,466.6,30.16,1.0,61.9,404.7,1.0
3250.0,0.9027777777777778,20.499212743122285,20.499,5.0,20.5,20.0,idle,heat,none,0.0,0.0,0.0005,0.001,0,0,skip: bootstrap - cool deadtime not yet learned,warmup,Hysteresis,30.0,0.0,0.0,0.00037615234234436476,-0.0004666609761491157,17.99,0.0,0.0,-314.2,466.7,30.11,1.0,62.0,404.7,0.0
3310.0,0.9194444444444444,20.476744065888813,20.477,5.0,20.5,20.0,idle,heat,none,0.0,0.0,0.0005,0.001,0,0,skip: bootstrap - cool deadtime not yet learned,warmup,Hysteresis,30.0,0.0,0.0,0.0003732594344793293,-0.0004665688050023739,17.99,0.0,0.0,-311.4,466.6,30.15,1.0,61.9,404.7,0.0
3370.0,0.9361111111111111,20.45444817827304,20.454,5.0,20.5,20.0,idle,heat,none,0.0,0.0,0.0005,0.001,0,0,skip: bootstrap - cool deadtime not yet learned,warmup,Hysteresis,30.0,0.0,0.0,0.0003703891238804761,-0.00046647725553334906,17.99,0.0,0.0,-308.6,466.5,30.18,1.0,61.8,404.7,0.0
3430.0,0.9527777777777777,20.432323730570054,20.432,5.0,20.4,20.0,idle,heat,none,0.0,0.0,0.0005,0.001,0,0,"extending: slope not robust (insufficient_samples, n=2)",warmup,Hysteresis,30.0,0.0,0.0,0.00036754123402480424,-0.00046638632288840357,17.99,0.0,0.0,-305.8,466.4,30.22,1.0,61.7,404.7,0.0
3490.0,0.9694444444444444,20.410369383618402,20.41,5.0,20.4,20.0,idle,heat,none,0.0,0.0,0.0005,0.001,0,0,"extending: slope not robust (low_amplitude, n=5)",warmup,Hysteresis,30.0,0.0,0.0,0.00036471558976825327,-0.0004662960022518152,17.99,0.0,0.0,-303.1,466.3,30.26,1.0,61.6,404.7,0.0
3550.0,0.9861111111111112,20.388583808717783,20.389,5.0,20.4,20.0,idle,heat,none,0.0,0.0,0.0005,0.001,0,0,"extending: slope not robust (low_amplitude, n=5)",warmup,Hysteresis,30.0,0.0,0.0,0.00036191201733494087,-0.00046620628884548,17.99,0.0,0.0,-300.4,466.2,30.3,1.0,61.6,404.7,0.0
3610.0,1.0027777777777778,20.366965687547278,20.367,5.0,20.4,20.0,idle,heat,none,0.0,0.0,0.0005,0.001,0,0,"extending: slope not robust (insufficient_samples, n=2)",warmup,Hysteresis,30.0,0.0,0.0,0.0003591303443064665,-0.0004661171779286192,17.99,0.0,0.0,-297.7,466.1,30.33,1.0,61.5,404.6,0.0
3670.0,1.0194444444444444,20.3455137120843,20.346,5.0,20.3,20.0,idle,heat,none,0.0,0.0,0.0005,0.001,0,0,"extending: slope not robust (low_amplitude, n=4)",warmup,Hysteresis,30.0,0.0,0.0,0.0003563703996113101,-0.00046602866479748795,17.99,0.0,0.0,-295.0,466.0,30.37,1.0,61.4,404.6,0.0
3730.0,1.0361111111111112,20.324226584524148,20.324,5.0,20.3,20.0,idle,heat,none,0.0,0.0,0.0005,0.001,0,0,"extending: slope not robust (low_amplitude, n=4)",warmup,Hysteresis,30.0,0.0,0.0,0.0003536320135143117,-0.00046594074478508525,17.99,0.0,0.0,-292.3,465.9,30.41,1.0,61.3,404.6,0.0
3790.0,1.0527777777777778,20.30310301720016,20.303,5.0,20.3,20.0,idle,heat,none,0.0,0.0,0.0005,0.001,0,0,"extending: slope not robust (low_amplitude, n=5)",warmup,Hysteresis,30.0,0.0,0.0,0.0003509150176062307,-0.0004658534132608669,17.99,0.0,0.0,-289.7,465.9,30.44,1.0,61.2,404.6,0.0
3850.0,1.0694444444444444,20.282141732504556,20.282,5.0,20.3,20.0,idle,heat,none,0.0,0.0,0.0005,0.001,0,0,"extending: slope not robust (low_amplitude, n=5)",warmup,Hysteresis,30.0,0.0,0.0,0.00034821924479339127,-0.00046576666563046156,17.99,0.0,0.0,-287.1,465.8,30.48,1.0,61.1,404.6,0.0
3910.0,1.086111111111111,20.26134146280982,20.261,5.0,20.3,20.0,idle,heat,none,0.0,0.0,0.0005,0.001,0,0,"extending: slope not robust (low_amplitude, n=5)",warmup,Hysteresis,30.0,0.0,0.0,0.00034554452928739796,-0.0004656804973353875,17.99,0.0,0.0,-284.5,465.7,30.51,1.0,61.0,404.6,0.0
3970.0,1.1027777777777779,20.240700950390774,20.241,5.0,20.2,20.0,idle,heat,none,0.0,0.0,0.0005,0.001,0,0,"extending: slope not robust (low_amplitude, n=4)",warmup,Hysteresis,30.0,0.0,0.0,0.00034289070659494937,-0.00046559490385277225,17.99,0.0,0.0,-281.9,465.6,30.55,1.0,61.0,404.6,0.0
